===
Lewis VS. Stein
Battle 1: Lewis (AC) DEFEATED Stein (KH) : Lewis 27, Stein 25
Battle 809: Person (QS) DEFEATED Other guy (7D) : Person 31, Other guy 21
Battle 810: Other guy (9S) DEFEATED Person (3H) : Person 30, Other guy 22
Battle 811: Person (9H) DEFEATED Other guy (5D) : Person 31, Other guy 21
Battle 812: Other guy (7C) DEFEATED Person (4C) : Person 30, Other guy 22
Battle 813: Person (8C) DEFEATED Other guy (2H) : Person 31, Other guy 21
Battle 814: Person (6C) DEFEATED Other guy (5H) : Person 32, Other guy 20
Battle 815: Person (JC) DEFEATED Other guy (9D) : Person 33, Other guy 19
Battle 816: Other guy (TH) DEFEATED Person (4D) : Person 32, Other guy 20
Battle 817: Person (AH) DEFEATED Other guy (8D) : Person 33, Other guy 19
Battle 818: Other guy (KH) DEFEATED Person (2C) : Person 32, Other guy 20
Battle 819: Person (KC) DEFEATED Other guy (TC) : Person 33, Other guy 19
Battle 820: Other guy (AS) DEFEATED Person (9C) : Person 32, Other guy 20
Battle 821: Person (QD) DEFEATED Other guy (2S) : Person 33, Other guy 19
Battle 822: Person (QH) DEFEATED Other guy (8S) : Person 34, Other guy 18
Battle 823: Other guy (6D) DEFEATED Person (4H) : Person 33, Other guy 19
Battle 824: Other guy (TD) DEFEATED Person (3D) : Person 32, Other guy 20
Battle 825: Person (JS) DEFEATED Other guy (4S) : Person 33, Other guy 19
Battle 826: Other guy (QC) DEFEATED Person (6S) : Person 32, Other guy 20
Battle 827: Person (AD) DEFEATED Other guy (7S) : Person 33, Other guy 19
Battle 828: Person (AC) DEFEATED Other guy (8H) : Person 34, Other guy 18
Battle 829: Other guy (5C) DEFEATED Person (2D) : Person 33, Other guy 19
Battle 830: Other guy (JH) DEFEATED Person (3C) : Person 32, Other guy 20
Battle 831: Person (KD) DEFEATED Other guy (3H) : Person 33, Other guy 19
Battle 832: Other guy (9S) DEFEATED Person (5S) : Person 32, Other guy 20
Battle 833: Person (TS) DEFEATED Other guy (4C) : Person 33, Other guy 19
Battle 834: Other guy (7C) TIED Person (7H) : Person 28, Other guy 24
Battle 835: Person (QS) DEFEATED Other guy (9C) : Person 29, Other guy 23
Battle 836: Other guy (AS) DEFEATED Person (7D) : Person 28, Other guy 24
Battle 837: Person (9H) DEFEATED Other guy (4H) : Person 29, Other guy 23
Battle 838: Other guy (6D) DEFEATED Person (5D) : Person 28, Other guy 24
Battle 839: Person (8C) DEFEATED Other guy (3D) : Person 29, Other guy 23
Battle 840: Other guy (TD) DEFEATED Person (2H) : Person 28, Other guy 24
Battle 841: Other guy (6S) TIED Person (6C) : Person 33, Other guy 19
Battle 842: Other guy (JH) DEFEATED Person (8D) : Person 32, Other guy 20
Battle 843: Person (KC) DEFEATED Other guy (5S) : Person 33, Other guy 19
Battle 844: Person (TC) DEFEATED Other guy (9S) : Person 34, Other guy 18
Battle 845: Person (QD) DEFEATED Other guy (7H) : Person 35, Other guy 17
Battle 846: Other guy (7C) DEFEATED Person (2S) : Person 34, Other guy 18
Battle 847: Person (QH) DEFEATED Other guy (JD) : Person 35, Other guy 17
Battle 848: Person (8S) DEFEATED Other guy (3S) : Person 36, Other guy 16
Battle 849: Other guy (KS) DEFEATED Person (JS) : Person 35, Other guy 17
Battle 850: Other guy (6H) DEFEATED Person (4S) : Person 34, Other guy 18
Battle 851: Person (AD) DEFEATED Other guy (4D) : Person 35, Other guy 17
Battle 852: Other guy (TH) DEFEATED Person (7S) : Person 34, Other guy 18
Battle 853: Person (AC) DEFEATED Other guy (2C) : Person 35, Other guy 17
Battle 854: Other guy (KH) DEFEATED Person (8H) : Person 34, Other guy 18
Battle 855: Person (KD) DEFEATED Other guy (7D) : Person 35, Other guy 17
Battle 856: Other guy (AS) DEFEATED Person (3H) : Person 34, Other guy 18
Battle 857: Person (TS) DEFEATED Other guy (5D) : Person 35, Other guy 17
Battle 858: Other guy (6D) DEFEATED Person (4C) : Person 34, Other guy 18
Battle 859: Person (QS) DEFEATED Other guy (2H) : Person 35, Other guy 17
Battle 860: Other guy (TD) DEFEATED Person (9C) : Person 34, Other guy 18
Battle 861: Person (9H) DEFEATED Other guy (8D) : Person 35, Other guy 17
Battle 862: Other guy (JH) DEFEATED Person (4H) : Person 34, Other guy 18
Battle 863: Person (8C) DEFEATED Other guy (2S) : Person 35, Other guy 17
Battle 864: Other guy (7C) DEFEATED Person (3D) : Person 34, Other guy 18
Battle 865: Other guy (JS) DEFEATED Person (6C) : Person 33, Other guy 19
Battle 866: Other guy (KS) DEFEATED Person (6S) : Person 32, Other guy 20
Battle 867: Person (5H) DEFEATED Other guy (4S) : Person 33, Other guy 19
Battle 868: Person (JC) DEFEATED Other guy (6H) : Person 34, Other guy 18
Battle 869: Person (9D) DEFEATED Other guy (7S) : Person 35, Other guy 17
Battle 870: Person (AH) DEFEATED Other guy (TH) : Person 36, Other guy 16
Battle 871: Person (QC) DEFEATED Other guy (8H) : Person 37, Other guy 15
Battle 872: Other guy (KH) DEFEATED Person (2D) : Person 36, Other guy 16
Battle 873: Person (5C) DEFEATED Other guy (3H) : Person 37, Other guy 15
Battle 874: Other guy (AS) DEFEATED Person (3C) : Person 36, Other guy 16
Battle 875: Person (KC) DEFEATED Other guy (4C) : Person 37, Other guy 15
Battle 876: Other guy (6D) DEFEATED Person (5S) : Person 36, Other guy 16
Battle 877: Person (TC) DEFEATED Other guy (9C) : Person 37, Other guy 15
Battle 878: Other guy (TD) DEFEATED Person (9S) : Person 36, Other guy 16
Battle 879: Person (QD) DEFEATED Other guy (4H) : Person 37, Other guy 15
Battle 880: Other guy (JH) DEFEATED Person (7H) : Person 36, Other guy 16
Battle 881: Person (QH) DEFEATED Other guy (3D) : Person 37, Other guy 15
Battle 882: Person (JD) DEFEATED Other guy (7C) : Person 38, Other guy 14
Battle 883: Person (8S) DEFEATED Other guy (6C) : Person 39, Other guy 13
Battle 884: Other guy (JS) DEFEATED Person (3S) : Person 38, Other guy 14
Battle 885: Person (AD) DEFEATED Other guy (6S) : Person 39, Other guy 13
Battle 886: Other guy (KS) DEFEATED Person (4D) : Person 38, Other guy 14
Battle 887: Person (AC) DEFEATED Other guy (2D) : Person 39, Other guy 13
Battle 888: Other guy (KH) DEFEATED Person (2C) : Person 38, Other guy 14
Battle 889: Person (KD) DEFEATED Other guy (3C) : Person 39, Other guy 13
Battle 890: Other guy (AS) DEFEATED Person (7D) : Person 38, Other guy 14
Battle 891: Person (TS) DEFEATED Other guy (5S) : Person 39, Other guy 13
Battle 892: Other guy (6D) DEFEATED Person (5D) : Person 38, Other guy 14
Battle 893: Person (QS) DEFEATED Other guy (9S) : Person 39, Other guy 13
Battle 894: Other guy (TD) DEFEATED Person (2H) : Person 38, Other guy 14
Battle 895: Person (9H) DEFEATED Other guy (7H) : Person 39, Other guy 13
Battle 896: Other guy (JH) DEFEATED Person (8D) : Person 38, Other guy 14
Battle 897: Person (8C) DEFEATED Other guy (3S) : Person 39, Other guy 13
Battle 898: Other guy (JS) DEFEATED Person (2S) : Person 38, Other guy 14
Battle 899: Person (5H) DEFEATED Other guy (4D) : Person 39, Other guy 13
Battle 900: Other guy (KS) DEFEATED Person (4S) : Person 38, Other guy 14
Battle 901: Person (JC) DEFEATED Other guy (2C) : Person 39, Other guy 13
Battle 902: Other guy (KH) DEFEATED Person (6H) : Person 38, Other guy 14
Battle 903: Person (9D) DEFEATED Other guy (7D) : Person 39, Other guy 13
Battle 904: Other guy (AS) DEFEATED Person (7S) : Person 38, Other guy 14
Battle 905: Person (AH) DEFEATED Other guy (5D) : Person 39, Other guy 13
Battle 906: Person (TH) DEFEATED Other guy (6D) : Person 40, Other guy 12
Battle 907: Person (QC) DEFEATED Other guy (2H) : Person 41, Other guy 11
Battle 908: Other guy (TD) DEFEATED Person (8H) : Person 40, Other guy 12
Battle 909: Other guy (8D) DEFEATED Person (5C) : Person 39, Other guy 13
Battle 910: Other guy (JH) DEFEATED Person (3H) : Person 38, Other guy 14
Battle 911: Person (KC) DEFEATED Other guy (2S) : Person 39, Other guy 13
Battle 912: Other guy (JS) DEFEATED Person (4C) : Person 38, Other guy 14
Battle 913: Person (TC) DEFEATED Other guy (4S) : Person 39, Other guy 13
Battle 914: Other guy (KS) DEFEATED Person (9C) : Person 38, Other guy 14
Battle 915: Person (QD) DEFEATED Other guy (6H) : Person 39, Other guy 13
Battle 916: Other guy (KH) DEFEATED Person (4H) : Person 38, Other guy 14
Battle 917: Person (QH) DEFEATED Other guy (7S) : Person 39, Other guy 13
Battle 918: Other guy (AS) DEFEATED Person (3D) : Person 38, Other guy 14
Battle 919: Person (JD) DEFEATED Other guy (8H) : Person 39, Other guy 13
Battle 920: Other guy (TD) DEFEATED Person (7C) : Person 38, Other guy 14
Battle 921: Person (8S) DEFEATED Other guy (5C) : Person 39, Other guy 13
Battle 922: Other guy (8D) DEFEATED Person (6C) : Person 38, Other guy 14
Battle 923: Person (AD) DEFEATED Other guy (3H) : Person 39, Other guy 13
Battle 924: Other guy (JH) DEFEATED Person (6S) : Person 38, Other guy 14
Battle 925: Person (AC) DEFEATED Other guy (4C) : Person 39, Other guy 13
Battle 926: Other guy (JS) DEFEATED Person (2D) : Person 38, Other guy 14
Battle 927: Person (KD) DEFEATED Other guy (9C) : Person 39, Other guy 13
Battle 928: Other guy (KS) DEFEATED Person (3C) : Person 38, Other guy 14
Battle 929: Person (TS) DEFEATED Other guy (4H) : Person 39, Other guy 13
Battle 930: Other guy (KH) DEFEATED Person (5S) : Person 38, Other guy 14
Battle 931: Person (QS) DEFEATED Other guy (3D) : Person 39, Other guy 13
Battle 932: Other guy (AS) DEFEATED Person (9S) : Person 38, Other guy 14
Battle 933: Person (9H) DEFEATED Other guy (7C) : Person 39, Other guy 13
Battle 934: Other guy (TD) DEFEATED Person (7H) : Person 38, Other guy 14
Battle 935: Person (8C) DEFEATED Other guy (6C) : Person 39, Other guy 13
Battle 936: Other guy (8D) DEFEATED Person (3S) : Person 38, Other guy 14
Battle 937: Other guy (6S) DEFEATED Person (5H) : Person 37, Other guy 15
Battle 938: Other guy (JH) DEFEATED Person (4D) : Person 36, Other guy 16
Battle 939: Person (JC) DEFEATED Other guy (2D) : Person 37, Other guy 15
Battle 940: Other guy (JS) DEFEATED Person (2C) : Person 36, Other guy 16
Battle 941: Person (9D) DEFEATED Other guy (3C) : Person 37, Other guy 15
Battle 942: Other guy (KS) DEFEATED Person (7D) : Person 36, Other guy 16
Battle 943: Person (AH) DEFEATED Other guy (5S) : Person 37, Other guy 15
Battle 944: Other guy (KH) DEFEATED Person (5D) : Person 36, Other guy 16
Battle 945: Person (TH) DEFEATED Other guy (9S) : Person 37, Other guy 15
Battle 946: Other guy (AS) DEFEATED Person (6D) : Person 36, Other guy 16
Battle 947: Person (QC) DEFEATED Other guy (7H) : Person 37, Other guy 15
Battle 948: Other guy (TD) DEFEATED Person (2H) : Person 36, Other guy 16
Battle 949: Person (KC) DEFEATED Other guy (3S) : Person 37, Other guy 15
Battle 950: Other guy (8D) DEFEATED Person (2S) : Person 36, Other guy 16
Battle 951: Person (TC) DEFEATED Other guy (5H) : Person 37, Other guy 15
Battle 952: Other guy (6S) DEFEATED Person (4S) : Person 36, Other guy 16
Battle 953: Person (QD) DEFEATED Other guy (4D) : Person 37, Other guy 15
Battle 954: Other guy (JH) DEFEATED Person (6H) : Person 36, Other guy 16
Battle 955: Person (QH) DEFEATED Other guy (2C) : Person 37, Other guy 15
Battle 956: Other guy (JS) DEFEATED Person (7S) : Person 36, Other guy 16
Battle 957: Person (JD) DEFEATED Other guy (7D) : Person 37, Other guy 15
Battle 958: Other guy (KS) DEFEATED Person (8H) : Person 36, Other guy 16
Battle 959: Person (8S) DEFEATED Other guy (5D) : Person 37, Other guy 15
Battle 960: Other guy (KH) DEFEATED Person (5C) : Person 36, Other guy 16
Battle 961: Person (AD) DEFEATED Other guy (6D) : Person 37, Other guy 15
Battle 962: Other guy (AS) DEFEATED Person (3H) : Person 36, Other guy 16
Battle 963: Person (AC) DEFEATED Other guy (2H) : Person 37, Other guy 15
Battle 964: Other guy (TD) DEFEATED Person (4C) : Person 36, Other guy 16
Battle 965: Person (KD) DEFEATED Other guy (2S) : Person 37, Other guy 15
Battle 966: Person (9C) DEFEATED Other guy (8D) : Person 38, Other guy 14
Battle 967: Person (TS) DEFEATED Other guy (4S) : Person 39, Other guy 13
Battle 968: Other guy (6S) DEFEATED Person (4H) : Person 38, Other guy 14
Battle 969: Person (QS) DEFEATED Other guy (6H) : Person 39, Other guy 13
Battle 970: Other guy (JH) DEFEATED Person (3D) : Person 38, Other guy 14
Battle 971: Person (9H) DEFEATED Other guy (7S) : Person 39, Other guy 13
Battle 972: Other guy (JS) DEFEATED Person (7C) : Person 38, Other guy 14
Battle 973: Other guy (8H) TIED Person (8C) : Person 43, Other guy 9
Battle 974: Other guy (AS) DEFEATED Person (3C) : Person 42, Other guy 10
Battle 975: Person (AH) DEFEATED Other guy (4C) : Person 43, Other guy 9
Battle 976: Other guy (TD) DEFEATED Person (5S) : Person 42, Other guy 10
Battle 977: Person (TH) DEFEATED Other guy (4H) : Person 43, Other guy 9
Battle 978: Person (9S) DEFEATED Other guy (6S) : Person 44, Other guy 8
Battle 979: Person (QC) DEFEATED Other guy (3D) : Person 45, Other guy 7
Battle 980: Other guy (JH) DEFEATED Person (7H) : Person 44, Other guy 8
Battle 981: Person (KC) DEFEATED Other guy (7C) : Person 45, Other guy 7
Battle 982: Other guy (JS) DEFEATED Person (3S) : Person 44, Other guy 8
Battle 983: Person (TC) DEFEATED Other guy (3C) : Person 45, Other guy 7
Battle 984: Other guy (AS) DEFEATED Person (5H) : Person 44, Other guy 8
Battle 985: Person (QD) DEFEATED Other guy (5S) : Person 45, Other guy 7
Battle 986: Other guy (TD) DEFEATED Person (4D) : Person 44, Other guy 8
Battle 987: Person (QH) DEFEATED Other guy (7H) : Person 45, Other guy 7
Battle 988: Other guy (JH) DEFEATED Person (2C) : Person 44, Other guy 8
Battle 989: Person (JD) DEFEATED Other guy (3S) : Person 45, Other guy 7
Battle 990: Other guy (JS) DEFEATED Person (7D) : Person 44, Other guy 8
Battle 991: Person (8S) DEFEATED Other guy (5H) : Person 45, Other guy 7
Battle 992: Other guy (AS) DEFEATED Person (5D) : Person 44, Other guy 8
Battle 993: Person (AD) DEFEATED Other guy (4D) : Person 45, Other guy 7
Battle 994: Other guy (TD) DEFEATED Person (6D) : Person 44, Other guy 8
Battle 995: Person (AC) DEFEATED Other guy (2C) : Person 45, Other guy 7
Battle 996: Other guy (JH) DEFEATED Person (2H) : Person 44, Other guy 8
Battle 997: Person (KD) DEFEATED Other guy (7D) : Person 45, Other guy 7
Battle 998: Other guy (JS) DEFEATED Person (2S) : Person 44, Other guy 8
Battle 999: Person (9C) DEFEATED Other guy (5D) : Person 45, Other guy 7
Battle 1000: Other guy (AS) DEFEATED Person (8D) : Person 44, Other guy 8
Person (1)  DEFEATED Other guy (0)  in 503 Battles and 23 Wars
===
That dude VS. people
Battle 1: That dude (8C) DEFEATED people (7C) : That dude 27, people 25
Battle 2: people (AC) TIED That dude (AD) : That dude 22, people 30
Battle 3: people (JH) DEFEATED That dude (5H) : That dude 21, people 31
Battle 4: people (KS) DEFEATED That dude (3S) : That dude 20, people 32
Battle 5: That dude (KD) DEFEATED people (7H) : That dude 21, people 31
Battle 6: That dude (6D) DEFEATED people (5S) : That dude 22, people 30
Battle 7: people (4C) DEFEATED That dude (3C) : That dude 21, people 31
Battle 8: people (JD) DEFEATED That dude (6H) : That dude 20, people 32
Battle 9: That dude (3D) DEFEATED people (2D) : That dude 21, people 31
Battle 10: That dude (9S) DEFEATED people (6C) : That dude 22, people 30
Battle 11: people (5D) DEFEATED That dude (4D) : That dude 21, people 31
Battle 12: That dude (9H) DEFEATED people (8S) : That dude 22, people 30
Battle 13: people (AS) DEFEATED That dude (JS) : That dude 21, people 31
Battle 14: That dude (QC) DEFEATED people (4H) : That dude 22, people 30
Battle 15: people (JC) DEFEATED That dude (2C) : That dude 21, people 31
Battle 16: people (AH) DEFEATED That dude (8D) : That dude 20, people 32
Battle 17: That dude (QS) DEFEATED people (5C) : That dude 21, people 31
Battle 18: That dude (6S) DEFEATED people (2H) : That dude 22, people 30
Battle 19: people (9D) DEFEATED That dude (7D) : That dude 21, people 31
Battle 20: people (TD) TIED That dude (TS) : That dude 16, people 36
Battle 21: That dude (KD) DEFEATED people (2S) : That dude 17, people 35
Battle 22: people (KH) DEFEATED That dude (7H) : That dude 16, people 36
Battle 23: That dude (6D) DEFEATED people (4S) : That dude 17, people 35
Battle 24: people (TH) DEFEATED That dude (5S) : That dude 16, people 36
Battle 25: people (TC) DEFEATED That dude (3D) : That dude 15, people 37
Battle 26: people (7S) DEFEATED That dude (2D) : That dude 14, people 38
Battle 27: people (QD) DEFEATED That dude (9S) : That dude 13, people 39
Battle 28: people (QH) DEFEATED That dude (6C) : That dude 12, people 40
Battle 29: That dude (9H) DEFEATED people (5H) : That dude 13, people 39
Battle 30: people (JH) DEFEATED That dude (8S) : That dude 12, people 40
Battle 31: That dude (QC) DEFEATED people (3S) : That dude 13, people 39
Battle 32: people (KS) DEFEATED That dude (4H) : That dude 12, people 40
Battle 33: That dude (QS) DEFEATED people (3C) : That dude 13, people 39
Battle 34: That dude (5C) DEFEATED people (4C) : That dude 14, people 38
Battle 35: people (6H) TIED That dude (6S) : That dude 9, people 43
Battle 36: people (AS) DEFEATED That dude (4S) : That dude 8, people 44
Battle 37: That dude (9H) DEFEATED people (2C) : That dude 9, people 43
Battle 38: people (JC) DEFEATED That dude (5H) : That dude 8, people 44
Battle 39: That dude (QC) DEFEATED people (8D) : That dude 9, people 43
Battle 40: people (AH) DEFEATED That dude (3S) : That dude 8, people 44
Battle 41: That dude (QS) DEFEATED people (7D) : That dude 9, people 43
Battle 42: people (9D) DEFEATED That dude (3C) : That dude 8, people 44
Battle 43: people (TS) DEFEATED That dude (5C) : That dude 7, people 45
Battle 44: people (TD) DEFEATED That dude (4C) : That dude 6, people 46
Battle 45: That dude (9H) DEFEATED people (8H) : That dude 7, people 45
Battle 46: people (9C) DEFEATED That dude (2C) : That dude 6, people 46
Battle 47: That dude (QC) DEFEATED people (8C) : That dude 7, people 45
Battle 48: That dude (8D) DEFEATED people (7C) : That dude 8, people 44
Battle 49: people (KC) DEFEATED That dude (QS) : That dude 7, people 45
Battle 50: That dude (7D) DEFEATED people (3H) : That dude 8, people 44
Battle 51: people (AD) DEFEATED That dude (9H) : That dude 7, people 45
Battle 52: people (AC) DEFEATED That dude (8H) : That dude 6, people 46
Battle 53: That dude (QC) DEFEATED people (7H) : That dude 7, people 45
Battle 54: people (KH) DEFEATED That dude (8C) : That dude 6, people 46
Battle 55: That dude (8D) DEFEATED people (5S) : That dude 7, people 45
Battle 56: people (TH) DEFEATED That dude (7C) : That dude 6, people 46
Battle 57: That dude (7D) DEFEATED people (3D) : That dude 7, people 45
Battle 58: people (TC) DEFEATED That dude (3H) : That dude 6, people 46
Battle 59: That dude (QC) DEFEATED people (2D) : That dude 7, people 45
Battle 60: people (7S) TIED That dude (7H) : That dude 2, people 50
Battle 61: That dude (QC) DEFEATED people (8S) : That dude 3, people 49
Battle 62: people (JH) DEFEATED That dude (2D) : That dude 2, people 50
Battle 63: That dude (QC) DEFEATED people (4H) : That dude 3, people 49
Battle 64: people (KS) DEFEATED That dude (8S) : That dude 2, people 50
Battle 65: That dude (QC) DEFEATED people (6S) : That dude 3, people 49
Battle 66: people (6H) DEFEATED That dude (4H) : That dude 2, people 50
Battle 67: That dude (QC) DEFEATED people (2H) : That dude 3, people 49
Battle 68: people (KD) DEFEATED That dude (6S) : That dude 2, people 50
Battle 69: That dude (QC) DEFEATED people (2S) : That dude 3, people 49
Battle 70: people (6D) DEFEATED That dude (2H) : That dude 2, people 50
Battle 71: That dude (QC) DEFEATED people (JD) : That dude 3, people 49
Battle 72: people (4D) DEFEATED That dude (2S) : That dude 2, people 50
Battle 73: That dude (QC) DEFEATED people (5D) : That dude 3, people 49
Battle 74: people (JS) TIED That dude (JD) : That dude 8, people 44
Battle 75: That dude (5D) DEFEATED people (3S) : That dude 9, people 43
Battle 76: people (AH) DEFEATED That dude (JD) : That dude 8, people 44
Battle 77: That dude (JS) DEFEATED people (3C) : That dude 9, people 43
Battle 78: That dude (QC) DEFEATED people (9D) : That dude 10, people 42
Battle 79: people (5C) DEFEATED That dude (4S) : That dude 9, people 43
Battle 80: That dude (AS) DEFEATED people (TS) : That dude 10, people 42
Battle 81: That dude (5H) DEFEATED people (4C) : That dude 11, people 41
Battle 82: That dude (JC) DEFEATED people (TD) : That dude 12, people 40
Battle 83: That dude (5D) DEFEATED people (2C) : That dude 13, people 39
Battle 84: people (9C) DEFEATED That dude (3S) : That dude 12, people 40
Battle 85: people (QS) DEFEATED That dude (JS) : That dude 11, people 41
Battle 86: people (KC) DEFEATED That dude (3C) : That dude 10, people 42
Battle 87: That dude (QC) DEFEATED people (9H) : That dude 11, people 41
Battle 88: people (AD) DEFEATED That dude (9D) : That dude 10, people 42
Battle 89: That dude (AS) DEFEATED people (8H) : That dude 11, people 41
Battle 90: people (AC) DEFEATED That dude (TS) : That dude 10, people 42
Battle 91: people (8C) DEFEATED That dude (5H) : That dude 9, people 43
Battle 92: people (KH) DEFEATED That dude (4C) : That dude 8, people 44
Battle 93: That dude (JC) DEFEATED people (7C) : That dude 9, people 43
Battle 94: people (TH) TIED That dude (TD) : That dude 14, people 38
Battle 95: That dude (AS) DEFEATED people (8D) : That dude 15, people 37
Battle 96: That dude (8H) DEFEATED people (5S) : That dude 16, people 36
Battle 97: That dude (JC) DEFEATED people (7D) : That dude 17, people 35
Battle 98: That dude (7C) DEFEATED people (3D) : That dude 18, people 34
Battle 99: That dude (TD) DEFEATED people (9S) : That dude 19, people 33
Battle 100: people (QD) DEFEATED That dude (TH) : That dude 18, people 34
Battle 101: people (6C) DEFEATED That dude (5D) : That dude 17, people 35
Battle 102: people (QH) DEFEATED That dude (2C) : That dude 16, people 36
Battle 103: That dude (QC) DEFEATED people (2D) : That dude 17, people 35
Battle 104: people (JH) DEFEATED That dude (9H) : That dude 16, people 36
Battle 105: people (8S) DEFEATED That dude (3H) : That dude 15, people 37
Battle 106: people (KS) DEFEATED That dude (TC) : That dude 14, people 38
Battle 107: That dude (7H) DEFEATED people (4H) : That dude 15, people 37
Battle 108: That dude (7S) DEFEATED people (6H) : That dude 16, people 36
Battle 109: That dude (AS) DEFEATED people (6S) : That dude 17, people 35
Battle 110: people (KD) DEFEATED That dude (8D) : That dude 16, people 36
Battle 111: That dude (8H) DEFEATED people (2H) : That dude 17, people 35
Battle 112: people (6D) DEFEATED That dude (5S) : That dude 16, people 36
Battle 113: That dude (JC) DEFEATED people (2S) : That dude 17, people 35
Battle 114: That dude (7D) DEFEATED people (4D) : That dude 18, people 34
Battle 115: people (JD) DEFEATED That dude (7C) : That dude 17, people 35
Battle 116: people (AH) DEFEATED That dude (3D) : That dude 16, people 36
Battle 117: That dude (TD) DEFEATED people (4S) : That dude 17, people 35
Battle 118: That dude (9S) DEFEATED people (5C) : That dude 18, people 34
Battle 119: That dude (QC) DEFEATED people (3S) : That dude 19, people 33
Battle 120: people (9C) DEFEATED That dude (2D) : That dude 18, people 34
Battle 121: people (JS) DEFEATED That dude (7H) : That dude 17, people 35
Battle 122: people (QS) DEFEATED That dude (4H) : That dude 16, people 36
Battle 123: That dude (7S) DEFEATED people (3C) : That dude 17, people 35
Battle 124: people (KC) DEFEATED That dude (6H) : That dude 16, people 36
Battle 125: That dude (AS) DEFEATED people (9D) : That dude 17, people 35
Battle 126: people (AD) DEFEATED That dude (6S) : That dude 16, people 36
Battle 127: people (TS) DEFEATED That dude (8H) : That dude 15, people 37
Battle 128: people (AC) DEFEATED That dude (2H) : That dude 14, people 38
Battle 129: That dude (JC) DEFEATED people (5H) : That dude 15, people 37
Battle 130: people (8C) DEFEATED That dude (2S) : That dude 14, people 38
Battle 131: That dude (7D) DEFEATED people (4C) : That dude 15, people 37
Battle 132: people (KH) DEFEATED That dude (4D) : That dude 14, people 38
Battle 133: people (TH) TIED That dude (TD) : That dude 19, people 33
Battle 134: people (QH) DEFEATED That dude (3S) : That dude 18, people 34
Battle 135: people (9H) DEFEATED That dude (7S) : That dude 17, people 35
Battle 136: people (JH) DEFEATED That dude (3C) : That dude 16, people 36
Battle 137: That dude (AS) DEFEATED people (3H) : That dude 17, people 35
Battle 138: That dude (9D) DEFEATED people (8S) : That dude 18, people 34
Battle 139: That dude (JC) DEFEATED people (TC) : That dude 19, people 33
Battle 140: people (KS) DEFEATED That dude (5H) : That dude 18, people 34
Battle 141: people (8D) DEFEATED That dude (7D) : That dude 17, people 35
Battle 142: people (KD) DEFEATED That dude (4C) : That dude 16, people 36
Battle 143: That dude (TD) DEFEATED people (5S) : That dude 17, people 35
Battle 144: That dude (TH) DEFEATED people (6D) : That dude 18, people 34
Battle 145: people (7C) DEFEATED That dude (4S) : That dude 17, people 35
Battle 146: people (JD) DEFEATED That dude (9S) : That dude 16, people 36
Battle 147: That dude (5C) DEFEATED people (3D) : That dude 17, people 35
Battle 148: people (AH) DEFEATED That dude (QC) : That dude 16, people 36
Battle 149: That dude (QD) DEFEATED people (2D) : That dude 17, people 35
Battle 150: people (9C) DEFEATED That dude (5D) : That dude 16, people 36
Battle 151: people (7H) DEFEATED That dude (6C) : That dude 15, people 37
Battle 152: people (JS) DEFEATED That dude (2C) : That dude 14, people 38
Battle 153: That dude (AS) DEFEATED people (4H) : That dude 15, people 37
Battle 154: people (QS) DEFEATED That dude (3H) : That dude 14, people 38
Battle 155: That dude (9D) DEFEATED people (6H) : That dude 15, people 37
Battle 156: people (KC) DEFEATED That dude (8S) : That dude 14, people 38
Battle 157: That dude (JC) DEFEATED people (6S) : That dude 15, people 37
Battle 158: people (AD) DEFEATED That dude (TC) : That dude 14, people 38
Battle 159: That dude (TD) DEFEATED people (8H) : That dude 15, people 37
Battle 160: people (TS) DEFEATED That dude (5S) : That dude 14, people 38
Battle 161: That dude (TH) DEFEATED people (2H) : That dude 15, people 37
Battle 162: people (AC) DEFEATED That dude (6D) : That dude 14, people 38
Battle 163: That dude (5C) DEFEATED people (2S) : That dude 15, people 37
Battle 164: people (8C) DEFEATED That dude (3D) : That dude 14, people 38
Battle 165: That dude (QD) DEFEATED people (4D) : That dude 15, people 37
Battle 166: people (KH) DEFEATED That dude (2D) : That dude 14, people 38
Battle 167: That dude (AS) DEFEATED people (3S) : That dude 15, people 37
Battle 168: people (QH) DEFEATED That dude (4H) : That dude 14, people 38
Battle 169: That dude (9D) DEFEATED people (7S) : That dude 15, people 37
Battle 170: people (9H) DEFEATED That dude (6H) : That dude 14, people 38
Battle 171: That dude (JC) DEFEATED people (3C) : That dude 15, people 37
Battle 172: people (JH) DEFEATED That dude (6S) : That dude 14, people 38
Battle 173: That dude (TD) DEFEATED people (5H) : That dude 15, people 37
Battle 174: people (KS) DEFEATED That dude (8H) : That dude 14, people 38
Battle 175: That dude (TH) DEFEATED people (7D) : That dude 15, people 37
Battle 176: people (8D) DEFEATED That dude (2H) : That dude 14, people 38
Battle 177: That dude (5C) DEFEATED people (4C) : That dude 15, people 37
Battle 178: people (KD) DEFEATED That dude (2S) : That dude 14, people 38
Battle 179: That dude (QD) DEFEATED people (4S) : That dude 15, people 37
Battle 180: people (7C) DEFEATED That dude (4D) : That dude 14, people 38
Battle 181: That dude (AS) DEFEATED people (9S) : That dude 15, people 37
Battle 182: people (JD) DEFEATED That dude (3S) : That dude 14, people 38
Battle 183: people (QC) DEFEATED That dude (9D) : That dude 13, people 39
Battle 184: people (AH) DEFEATED That dude (7S) : That dude 12, people 40
